,Year,Value,Value_scaled
0,1880,-0.13,0.22222222222222224
1,1881,-0.09,0.25
2,1882,-0.1,0.24305555555555555
3,1883,-0.19,0.18055555555555558
4,1884,-0.27,0.125
5,1885,-0.26,0.13194444444444445
6,1886,-0.25,0.1388888888888889
7,1887,-0.29,0.11111111111111113
8,1888,-0.14,0.2152777777777778
9,1889,-0.09,0.25
10,1890,-0.34,0.07638888888888888
11,1891,-0.25,0.1388888888888889
12,1892,-0.3,0.10416666666666669
13,1893,-0.33,0.08333333333333333
14,1894,-0.31,0.09722222222222224
15,1895,-0.24,0.14583333333333334
16,1896,-0.1,0.24305555555555555
17,1897,-0.1,0.24305555555555555
18,1898,-0.27,0.125
19,1899,-0.16,0.20138888888888892
20,1900,-0.07,0.2638888888888889
21,1901,-0.15,0.20833333333333337
22,1902,-0.26,0.13194444444444445
23,1903,-0.37,0.055555555555555566
24,1904,-0.45,0.0
25,1905,-0.27,0.125
26,1906,-0.21,0.16666666666666669
27,1907,-0.38,0.04861111111111112
28,1908,-0.43,0.013888888888888902
29,1909,-0.44,0.006944444444444451
30,1910,-0.4,0.03472222222222222
31,1911,-0.44,0.006944444444444451
32,1912,-0.34,0.07638888888888888
33,1913,-0.32,0.09027777777777779
34,1914,-0.14,0.2152777777777778
35,1915,-0.09,0.25
36,1916,-0.32,0.09027777777777779
37,1917,-0.39,0.041666666666666664
38,1918,-0.3,0.10416666666666669
39,1919,-0.25,0.1388888888888889
40,1920,-0.23,0.1527777777777778
41,1921,-0.16,0.20138888888888892
42,1922,-0.25,0.1388888888888889
43,1923,-0.25,0.1388888888888889
44,1924,-0.24,0.14583333333333334
45,1925,-0.18,0.18750000000000003
46,1926,-0.07,0.2638888888888889
47,1927,-0.17,0.19444444444444448
48,1928,-0.18,0.18750000000000003
49,1929,-0.33,0.08333333333333333
50,1930,-0.11,0.23611111111111113
51,1931,-0.06,0.27083333333333337
52,1932,-0.13,0.22222222222222224
53,1933,-0.26,0.13194444444444445
54,1934,-0.11,0.23611111111111113
55,1935,-0.16,0.20138888888888892
56,1936,-0.12,0.22916666666666669
57,1937,-0.01,0.3055555555555556
58,1938,-0.02,0.2986111111111111
59,1939,0.01,0.3194444444444445
60,1940,0.16,0.4236111111111111
61,1941,0.27,0.5
62,1942,0.11,0.38888888888888895
63,1943,0.11,0.38888888888888895
64,1944,0.28,0.5069444444444444
65,1945,0.18,0.4375
66,1946,-0.01,0.3055555555555556
67,1947,-0.03,0.2916666666666667
68,1948,-0.05,0.2777777777777778
69,1949,-0.07,0.2638888888888889
70,1950,-0.15,0.20833333333333337
71,1951,0.0,0.3125
72,1952,0.04,0.3402777777777778
73,1953,0.13,0.40277777777777785
74,1954,-0.1,0.24305555555555555
75,1955,-0.13,0.22222222222222224
76,1956,-0.18,0.18750000000000003
77,1957,0.07,0.36111111111111116
78,1958,0.12,0.39583333333333337
79,1959,0.08,0.3680555555555556
80,1960,0.05,0.3472222222222222
81,1961,0.09,0.37500000000000006
82,1962,0.1,0.3819444444444445
83,1963,0.12,0.39583333333333337
84,1964,-0.14,0.2152777777777778
85,1965,-0.07,0.2638888888888889
86,1966,-0.01,0.3055555555555556
87,1967,0.0,0.3125
88,1968,-0.03,0.2916666666666667
89,1969,0.1,0.3819444444444445
90,1970,0.06,0.3541666666666667
91,1971,-0.07,0.2638888888888889
92,1972,0.04,0.3402777777777778
93,1973,0.19,0.4444444444444445
94,1974,-0.06,0.27083333333333337
95,1975,0.01,0.3194444444444445
96,1976,-0.07,0.2638888888888889
97,1977,0.21,0.45833333333333337
98,1978,0.12,0.39583333333333337
99,1979,0.23,0.47222222222222227
100,1980,0.28,0.5069444444444444
101,1981,0.32,0.5347222222222222
102,1982,0.19,0.4444444444444445
103,1983,0.36,0.5625000000000001
104,1984,0.17,0.4305555555555556
105,1985,0.16,0.4236111111111111
106,1986,0.23,0.47222222222222227
107,1987,0.38,0.576388888888889
108,1988,0.39,0.5833333333333334
109,1989,0.29,0.513888888888889
110,1990,0.45,0.625
111,1991,0.39,0.5833333333333334
112,1992,0.24,0.47916666666666663
113,1993,0.28,0.5069444444444444
114,1994,0.34,0.5486111111111112
115,1995,0.47,0.6388888888888888
116,1996,0.32,0.5347222222222222
117,1997,0.51,0.6666666666666666
118,1998,0.65,0.763888888888889
119,1999,0.44,0.6180555555555556
120,2000,0.42,0.6041666666666667
121,2001,0.57,0.7083333333333334
122,2002,0.62,0.7430555555555556
123,2003,0.64,0.7569444444444445
124,2004,0.58,0.7152777777777778
125,2005,0.67,0.7777777777777779
126,2006,0.63,0.7500000000000001
127,2007,0.62,0.7430555555555556
128,2008,0.54,0.6875
129,2009,0.64,0.7569444444444445
130,2010,0.72,0.8125
131,2011,0.57,0.7083333333333334
132,2012,0.63,0.7500000000000001
133,2013,0.67,0.7777777777777779
134,2014,0.74,0.8263888888888888
135,2015,0.92,0.951388888888889
136,2016,0.99,1.0
137,2017,0.91,0.9444444444444445
138,2018,0.82,0.8819444444444445
139,2019,0.94,0.9652777777777778
