,county,year,Avg_Tempmin,Avg_Tempmax
0,3,1895,41.0,64.0
1,3,1896,44.0,65.0
2,3,1897,44.0,66.0
3,3,1898,45.0,65.0
4,3,1899,44.0,65.0
5,3,1900,46.0,67.0
6,3,1901,43.0,63.0
7,3,1902,43.0,65.0
8,3,1903,43.0,64.0
9,3,1904,42.0,63.0
10,3,1905,43.0,64.0
11,3,1906,44.0,65.0
12,3,1907,42.0,64.0
13,3,1908,44.0,65.0
14,3,1909,44.0,65.0
15,3,1910,43.0,64.0
16,3,1911,44.0,66.0
17,3,1912,43.0,64.0
18,3,1913,45.0,66.0
19,3,1914,43.0,65.0
20,3,1915,43.0,65.0
21,3,1916,43.0,65.0
22,3,1917,41.0,63.0
23,3,1918,43.0,65.0
24,3,1919,44.0,66.0
25,3,1920,43.0,64.0
26,3,1921,46.0,68.0
27,3,1922,45.0,66.0
28,3,1923,44.0,66.0
29,3,1924,42.0,63.0
30,3,1925,44.0,66.0
31,3,1926,43.0,64.0
32,3,1927,44.0,65.0
33,3,1928,43.0,65.0
34,3,1929,43.0,65.0
35,3,1930,44.0,67.0
36,3,1931,45.0,67.0
37,3,1932,44.0,67.0
38,3,1933,45.0,67.0
39,3,1934,43.0,65.0
40,3,1935,43.0,64.0
41,3,1936,43.0,66.0
42,3,1937,43.0,65.0
43,3,1938,44.0,67.0
44,3,1939,44.0,67.0
45,3,1940,42.0,63.0
46,3,1941,44.0,68.0
47,3,1942,44.0,66.0
48,3,1943,43.0,67.0
49,3,1944,43.0,66.0
50,3,1945,44.0,66.0
51,3,1946,44.0,67.0
52,3,1947,43.0,65.0
53,3,1948,44.0,66.0
54,3,1949,46.0,68.0
55,3,1950,43.0,65.0
56,3,1951,43.0,67.0
57,3,1952,44.0,67.0
58,3,1953,45.0,69.0
59,3,1954,43.0,68.0
60,3,1955,43.0,67.0
61,3,1956,44.0,66.0
62,3,1957,44.0,66.0
63,3,1958,42.0,64.0
64,3,1959,44.0,67.0
65,3,1960,42.0,65.0
66,3,1961,43.0,65.0
67,3,1962,42.0,64.0
68,3,1963,41.0,66.0
69,3,1964,43.0,66.0
70,3,1965,43.0,66.0
71,3,1966,42.0,65.0
72,3,1967,42.0,65.0
73,3,1968,42.0,66.0
74,3,1969,43.0,64.0
75,3,1970,44.0,66.0
76,3,1971,44.0,66.0
77,3,1972,43.0,65.0
78,3,1973,45.0,67.0
79,3,1974,44.0,67.0
80,3,1975,44.0,66.0
81,3,1976,42.0,65.0
82,3,1977,43.0,66.0
83,3,1978,42.0,64.0
84,3,1979,43.0,64.0
85,3,1980,43.0,66.0
86,3,1981,43.0,65.0
87,3,1982,44.0,65.0
88,3,1983,43.0,66.0
89,3,1984,44.0,66.0
90,3,1985,45.0,67.0
91,3,1986,45.0,67.0
92,3,1987,44.0,67.0
93,3,1988,42.0,66.0
94,3,1989,44.0,65.0
95,3,1990,46.0,69.0
96,3,1991,46.0,69.0
97,3,1992,44.0,65.0
98,3,1993,44.0,66.0
99,3,1994,44.0,67.0
100,3,1995,44.0,66.0
101,3,1996,44.0,65.0
102,3,1997,44.0,66.0
103,3,1998,47.0,69.0
104,3,1999,45.0,68.0
105,3,2000,44.0,66.0
106,3,2001,44.0,68.0
107,3,2002,45.0,68.0
108,3,2003,45.0,65.0
109,3,2004,46.0,67.0
110,3,2005,45.0,67.0
111,3,2006,46.0,68.0
112,3,2007,45.0,68.0
113,3,2008,45.0,67.0
114,3,2009,44.0,65.0
115,3,2010,45.0,68.0
116,3,2011,46.0,68.0
117,3,2012,47.0,69.0
118,3,2013,45.0,65.0
119,3,2014,44.0,65.0
120,3,2015,46.0,67.0
121,3,2016,46.0,68.0
122,3,2017,47.0,69.0
123,3,2018,46.0,67.0
124,3,2019,47.0,68.0
125,3,2020,47.0,68.0
126,3,2021,,
127,65,1895,41.0,66.0
128,65,1896,44.0,67.0
129,65,1897,44.0,68.0
130,65,1898,45.0,68.0
131,65,1899,44.0,67.0
132,65,1900,46.0,69.0
133,65,1901,44.0,65.0
134,65,1902,44.0,66.0
135,65,1903,42.0,65.0
